brand,series,name,model_mpn,ean_gtin,product_url,price_ron,currency,availability,display,refresh_rate_hz,chipset,gpu,ram_gb,storage_gb,expandable_storage,rear_camera,front_camera,video,battery_mah,charging_watt,os,ui,network,sim,dimensions_mm,weight_g,ip_rating,colors,wifi,bluetooth,nfc,usb,audio_jack,image_urls,specs_raw_json
Huawei,,Telefoane,,,https://consumer.huawei.com/ro/phones/,,RON,in_stock,,,,,,,No,,,,,,HarmonyOS,EMUI,5G,"Dual SIM",,,,,"Wi-Fi 6",5.2,Yes,"USB Type-C",No,,
Huawei,,"HUAWEI Pura 80 Pro",,,https://consumer.huawei.com/ro/phones/pura80-pro/,,RON,in_stock,,,,,,,No,"Detaliul zilei, nuanța nopții Fii pe fază de la răsărit și până la asfințit cu camera Ultra Lighting de 1 inch. Camera Telefoto Macro Ultra Lighting dezvăluie splendori ascunse. Iar camera Ultra Chroma XMAGE îmbunătățește fiecare lentilă a camerei pentru a-ți oferi o fidelitate a culorilor care îți taie respirația.",,,,,HarmonyOS,EMUI,5G,"Dual SIM",,,,,"Wi-Fi 6",5.2,Yes,"USB Type-C",No,,
Huawei,,Cumpără,,,https://consumer.huawei.com/ro/phones/pura80-pro/buy/,,RON,in_stock,,,,,,,No,,,,,,HarmonyOS,EMUI,5G,"Dual SIM",,,,,"Wi-Fi 6",5.2,Yes,"USB Type-C",No,,
